Threshold,Precision,Recall,F1 Score
0.2,0.4209245742092457,0.9251336898395722,0.5785953177257525
0.25,0.44576719576719576,0.9010695187165776,0.5964601769911504
0.3,0.4722222222222222,0.8636363636363636,0.610586011342155
0.35,0.5040650406504065,0.8288770053475936,0.6268958543983822
0.4,0.5176678445229682,0.7834224598930482,0.6234042553191489
0.45,0.5325670498084292,0.7433155080213903,0.6205357142857143
0.5,0.5564853556485355,0.7112299465240641,0.6244131455399061
0.55,0.5604651162790698,0.6443850267379679,0.599502487562189
0.6,0.5989159891598916,0.5909090909090909,0.594885598923284
0.65,0.6517571884984026,0.5454545454545454,0.5938864628820961
0.7,0.6793893129770993,0.47593582887700536,0.559748427672956
0.75,0.7163461538461539,0.3983957219251337,0.5120274914089347
0.8,0.7142857142857143,0.26737967914438504,0.38910505836575876
