Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.772888573456352,0.5564853556485355,0.7112299465240641,0.6244131455399061,0.8392247280994085
Logistic Regression,0.7331440738112136,0.4983164983164983,0.7914438502673797,0.6115702479338843,0.8418791495517838
